            table_name             |           column_name            
 security_audit_logs               | event_type
 security_audit_logs               | ip_address
 security_audit_logs               | user_agent
 hr_collaborators                  | full_name
 hr_collaborators                  | email
 hr_collaborators                  | phone
 hr_collaborators                  | cpf
 hr_collaborators                  | rg
 hr_collaborators                  | gender
 hr_collaborators                  | marital_status
 hr_collaborators                  | address
 hr_collaborators                  | city
 hr_collaborators                  | state
 hr_collaborators                  | zip_code
 hr_collaborators                  | department
 hr_collaborators                  | position
 hr_collaborators                  | employment_type
 hr_collaborators                  | status
 hr_collaborators                  | avatar_url
 hr_collaborators                  | emergency_contact_name
 hr_collaborators                  | emergency_contact_phone
 hr_collaborators                  | notes
 hr_collaborators                  | neighborhood
 hr_collaborators                  | address_complement
 hr_collaborators                  | work_model
 hr_collaborators                  | unit
 hr_collaborators                  | registration_company
 hr_collaborators                  | cbo
 hr_collaborators                  | payroll_company
 hr_collaborators                  | source_note
 event_feedback                    | highlights
 event_feedback                    | improvements
 event_feedback                    | additional_comments
 marketing_ai_suggestion_reviews   | suggestion_type
 marketing_ai_suggestion_reviews   | source_function
 marketing_ai_suggestion_reviews   | source_item_key
 marketing_ai_suggestion_reviews   | objective
 marketing_ai_suggestion_reviews   | profile_platform
 marketing_ai_suggestion_reviews   | profile_username
 marketing_ai_suggestion_reviews   | decision_notes
 omie_settings                     | app_key
 omie_settings                     | app_secret
 omie_settings                     | default_service_code
 omie_settings                     | default_category_code
 omie_settings                     | default_bank_account_code
 omie_settings                     | default_tax_type
 omie_settings                     | default_service_lc116_code
 omie_settings                     | default_retem_iss
 omie_settings                     | default_city
 omie_settings                     | cnpj
 omie_settings                     | legal_name
 omie_settings                     | trade_name
 omie_settings                     | color
 financial_tax_ai_runs             | model
 omie_integration_logs             | action
 omie_integration_logs             | status
 omie_integration_logs             | omie_os_id
 omie_integration_logs             | error_message
 financial_tax_profile             | cnae_principal
 financial_tax_profile             | inscricao_estadual
 financial_tax_profile             | inscricao_municipal
 financial_tax_profile             | atividade
 financial_tax_profile             | observacoes
 financial_import_rows             | parsed_brand
 financial_import_rows             | parsed_nsu
 financial_import_rows             | parsed_auth_code
 financial_import_rows             | parsed_doc
 financial_import_rows             | parsed_payer_name
 financial_import_rows             | status
 financial_import_rows             | error_message
 marketing_copy_history            | copy_type
 marketing_copy_history            | prompt
 marketing_copy_history            | output
 marketing_copy_history            | model
 companies                         | legal_name
 companies                         | document
 companies                         | trade_name
 companies                         | email
 companies                         | phone
 companies                         | address_zip
 companies                         | address_street
 companies                         | address_number
 companies                         | address_complement
 companies                         | address_neighborhood
 companies                         | address_city
 companies                         | address_state
 companies                         | ie
 companies                         | im
 companies                         | tax_regime
 companies                         | notazz_token
 companies                         | notes
 recommendations                   | title
 recommendations                   | action_text
 commission_sales_levels           | level_name
 composition_templates             | name
 composition_templates             | description
 composition_templates             | icon
 composition_templates             | post_type
 composition_templates             | objective
 custom_field_folders              | name
 client_followups                  | type
 client_followups                  | title
 client_followups                  | content
 client_followups                  | file_url
 client_followups                  | file_name
 instagram_profiles                | username
 instagram_profiles                | display_name
 instagram_profiles                | profile_picture_url
 instagram_profiles                | bio
 instagram_profiles                | meta_access_token
 instagram_profiles                | ig_business_account_id
 instagram_profiles                | sync_error
 hr_service_providers              | full_name
 hr_service_providers              | email
 hr_service_providers              | phone
 hr_service_providers              | cpf
 hr_service_providers              | rg
 hr_service_providers              | cnpj
 hr_service_providers              | company_name
 hr_service_providers              | trade_name
 hr_service_providers              | gender
 hr_service_providers              | marital_status
 hr_service_providers              | address
 hr_service_providers              | city
 hr_service_providers              | state
 hr_service_providers              | zip_code
 hr_service_providers              | department
 hr_service_providers              | service_type
 hr_service_providers              | position
 hr_service_providers              | payment_method
 hr_service_providers              | status
 hr_service_providers              | avatar_url
 hr_service_providers              | emergency_contact_name
 hr_service_providers              | emergency_contact_phone
 hr_service_providers              | notes
 hr_service_providers              | bank_name
 hr_service_providers              | bank_agency
 hr_service_providers              | bank_account
 hr_service_providers              | bank_pix_key
 hr_service_providers              | contract_number
 hr_service_providers              | education_level
 google_drive_connections          | google_email
 google_drive_connections          | google_user_id
 google_drive_connections          | refresh_token
 google_drive_connections          | access_token
 google_drive_connections          | scope
 google_drive_connections          | last_sync_status
 google_drive_connections          | last_sync_error
 bank_webhook_events               | source
 bank_webhook_events               | event_type
 bank_webhook_events               | external_id
 bank_webhook_events               | status
 bank_webhook_events               | error_message
 composition_presets               | name
 composition_presets               | specialist_version
 composition_presets               | post_type
 composition_presets               | objective
 insights_visuals                  | title
 insights_visuals                  | chart_type
 invoices                          | description
 invoices                          | currency
 invoices                          | status
 invoices                          | notes
 invoices                          | nf_number
 invoices                          | nf_series
 invoices                          | nf_url
 invoices                          | nf_status
 invoices                          | nf_cancellation_reason
 installments                      | payment_method
 installments                      | status
 installments                      | check_status
 installments                      | card_status
 installments                      | notes
 installments                      | payment_status
 installments                      | renegotiation_reason
 installments                      | card_acquirer
 installments                      | card_brand
 installments                      | card_nsu
 installments                      | card_authorization_code
 churn_analysis_reports            | insights
 marketing_ad_sets                 | meta_campaign_id
 marketing_ad_sets                 | name
 marketing_ad_sets                 | platform
 marketing_ad_sets                 | status
 client_ryka_stats                 | source
 support_tickets                   | client_phone
 support_tickets                   | client_name
 support_tickets                   | status
 support_tickets                   | priority
 support_tickets                   | subject
 support_tickets                   | escalation_reason
 subscription_plans                | name
 subscription_plans                | description
 subscription_plans                | billing_period
 subscription_plans                | plan_type
 event_notes                       | title
 event_notes                       | content
 event_notes                       | note_type
 hr_vacation_requests              | request_type
 hr_vacation_requests              | status
 hr_vacation_requests              | rejection_reason
 hr_vacation_requests              | notes
 team_insights_history             | scope
 team_insights_history             | member_name
 installment_events                | event_type
 installment_events                | visible_to
 clients                           | full_name
 clients                           | phone_e164
 clients                           | cpf
 clients                           | cnpj
 clients                           | company_name
 clients                           | notes
 clients                           | street
 clients                           | street_number
 clients                           | complement
 clients                           | neighborhood
 clients                           | city
 clients                           | state
 clients                           | zip_code
 clients                           | avatar_url
 clients                           | mls_level
 clients                           | business_street
 clients                           | business_street_number
 clients                           | business_complement
 clients                           | business_neighborhood
 clients                           | business_city
 clients                           | business_state
 clients                           | business_zip_code
 clients                           | logo_url
 clients                           | instagram
 clients                           | bio
 clients                           | pix_key_type
 clients                           | pix_key
 clients                           | bank_code
 clients                           | bank_name
 clients                           | bank_agency
 clients                           | bank_account
 clients                           | bank_account_type
 clients                           | business_segment
 clients                           | business_niche
 clients                           | rg
 clients                           | country
 clients                           | full_name_normalized
 clients                           | company_name_normalized
 clients                           | timezone
 clients                           | ai_next_step
 company_goals                     | goal_type
 company_goals                     | notes
 marketing_trends                  | title
 marketing_trends                  | description
 marketing_trends                  | source
 marketing_trends                  | source_url
 marketing_trends                  | thumbnail_url
 marketing_trends                  | audio_name
 marketing_trends                  | ai_adaptation
 marketing_trends                  | media_url
